date,iexId,isEnabled,name,symbol,type
2019-04-02,2378,True,Exponent Inc.,EXPO,cs
2019-04-02,2379,True,Express Inc.,EXPR,cs
2019-04-02,2380,True,Extra Space Storage Inc,EXR,cs
2019-04-02,2381,True,WisdomTree U.S. Total Market Fund,EXT,et
2019-04-02,10302,True,Exterran Corporation,EXTN,cs
2019-04-02,2382,True,Extreme Networks Inc.,EXTR,cs
2019-04-02,13583,True,National Vision Holdings Inc.,EYE,cs
2019-04-02,10347,True,Eyegate Pharmaceuticals Inc.,EYEG,cs
2019-04-02,10362,True,,EYEGW,N/A
2019-04-02,13934,True,Eyenovia Inc.,EYEN,cs
2019-04-02,9143,True,Second Sight Medical Products Inc.,EYES,cs
2019-04-02,12747,True,Second Sight Medical Products Inc. Warrants,EYESW,N/A
2019-04-02,11603,True,Cambria ETF Trust Emerging Shareholder Yield,EYLD,N/A
2019-04-02,5615,True,EyePoint Pharmaceuticals Inc.,EYPT,cs
2019-04-02,2384,True,iShares MSCI South Africa Index Fund,EZA,et
2019-04-02,2386,True,ProShares Ultra MSCI Japan,EZJ,et
2019-04-02,2387,True,WisdomTree U.S. MidCap Fund,EZM,et
2019-04-02,2388,True,EZCORP Inc.,EZPW,cs
2019-04-02,8625,True,Entergy Texas Inc First Mortgage Bonds 5.625% Series due June 1 2064,EZT,N/A
2019-04-02,2389,True,iShares MSCI Eurozone,EZU,et
2019-04-02,2391,True,Ford Motor Company,F,cs
2019-04-02,11344,True,First Trust Alternative Absolute Return Strategy ETF,FAAR,N/A
2019-04-02,2392,True,First Trust Multi Cap Value AlphaDEX Fund,FAB,et
2019-04-02,2394,True,First Trust Multi Cap Growth AlphaDEX Fund,FAD,et
2019-04-02,2395,True,First American Corporation (New),FAF,cs
2019-04-02,11485,True,iShares Fallen Angels USD Bond ETF,FALN,N/A
2019-04-02,2397,True,First Trust/Aberdeen Global Opportunity Income Fund of Beneficial Interest,FAM,cs
2019-04-02,13800,True,Farmmi INC.,FAMI,cs
2019-04-02,2398,True,First Trust Global Wind Energy,FAN,et
2019-04-02,2399,True,Diamondback Energy Inc.,FANG,cs
2019-04-02,1264,True,Fanhua Inc.,FANH,cs
2019-04-02,2400,True,Farmer Brothers Company,FARM,cs
2019-04-02,2401,True,FARO Technologies Inc.,FARO,cs
2019-04-02,2402,True,Direxion Financial Bull 3X Shares,FAS,et
2019-04-02,2403,True,Fastenal Company,FAST,cs
2019-04-02,13612,True,FAT Brands Inc.,FAT,cs
2019-04-02,7764,True,Fate Therapeutics Inc.,FATE,cs
2019-04-02,2404,True,First Trust Australia AlphaDex fund,FAUS,et
2019-04-02,2406,True,Aberdeen Asia-Pacific Income Fund Inc,FAX,cs
2019-04-02,2407,True,Direxion Financial Bear 3X Shares,FAZ,N/A
2019-04-02,2408,True,Facebook Inc.,FB,cs
2019-04-02,2409,True,Flagstar Bancorp Inc.,FBC,cs
2019-04-02,8704,True,UBS AG FI Enhanced Large Cap Growth ETN,FBGX,N/A
2019-04-02,2411,True,Fortune Brands Home & Security Inc.,FBHS,cs
2019-04-02,1350,True,Fortress Biotech Inc.,FBIO,cs
2019-04-02,13746,True,Fortress Biotech Inc. 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock,FBIOP,ps
2019-04-02,2412,True,First Business Financial Services Inc.,FBIZ,cs
2019-04-02,11748,True,FB Financial Corporation,FBK,cs
2019-04-02,12363,True,Foundation Building Materials Inc.,FBM,cs
2019-04-02,2414,True,The First Bancshares Inc.,FBMS,cs
2019-04-02,2416,True,First Bancorp,FBNC,cs
2019-04-02,9354,True,Fidelity Total Bond,FBND,N/A
2019-04-02,2418,True,First BanCorp.,FBP,cs
2019-04-02,2422,True,Fauquier Bankshares Inc.,FBSS,cs
2019-04-02,2423,True,First Trust Amex Biotech Index Fund,FBT,et
2019-04-02,2424,True,First Trust Brazil AlphaDEX Fund,FBZ,et
2019-04-02,2425,True,Franklin Covey Company,FC,cs
2019-04-02,2426,True,First Trust China AlphaDEX Fund,FCA,et
2019-04-02,13031,True,First Trust California Municipal High Income ETF,FCAL,N/A
